hom_count,illicit_resources,pop_slums,gini,corruption,pko_troops,pko_police,total_deaths,year,country_id
111,0,NA,NA,NA,3159,30,1395,2013,645
3029,0,47.2000007629395,NA,NA,2915,30,1395,2014,645
8153,0,NA,NA,NA,0,0,43327,2012,530
376,1,NA,NA,NA,0,127,6997,2009,516
347,1,NA,NA,NA,0,95,6997,2010,516
349,1,NA,NA,NA,0,0,6997,2011,516
500,1,NA,NA,NA,0,10,6997,2012,516
520,1,NA,38.6,NA,0,0,6997,2013,516
635,1,48.5999984741211,NA,NA,0,0,7248,2016,516
1511,1,NA,NA,NA,105567,9682,30,2007,625
1702,1,NA,NA,NA,204533,31712,30,2008,625
12237,1,NA,49.7,0.762,0,220,20106,2017,100
1617,1,NA,44.7,0.165,0,0,5821,2011,135
1968,1,NA,44.4,0.165,0,0,5821,2012,135
2013,1,NA,43.9,0.165,0,0,5824,2013,135
2076,1,34.2000007629395,43.1,0.165,0,0,5830,2014,135
2247,1,NA,43.4,0.165,0,0,5839,2015,135
2435,1,33.7999992370605,43.6,0.099,0,0,5849,2016,135
2487,1,NA,43.3,0.121,0,0,5856,2017,135
269,1,NA,NA,NA,0,0,965,2015,471
276,1,35.7999992370605,NA,NA,0,0,965,2016,471
341,1,NA,NA,NA,0,0,965,2017,471
429,1,NA,NA,NA,74594,15223,545,1992,811
793,1,NA,NA,NA,0,0,1578,1998,811
581,1,NA,NA,NA,0,0,1578,1999,811
571,1,NA,NA,NA,0,0,1578,2000,811
407,1,NA,NA,NA,0,0,1578,2001,811
425,1,NA,NA,NA,0,0,1578,2002,811
509,1,NA,NA,NA,0,0,1578,2003,811
511,1,NA,NA,NA,0,0,1578,2004,811
448,1,78.9000015258789,NA,NA,0,0,1578,2005,811
400,1,NA,NA,NA,0,0,1578,2006,811
393,1,NA,NA,NA,0,0,1578,2007,811
333,1,NA,NA,NA,0,0,1578,2008,811
331,1,NA,NA,NA,0,0,1578,2009,811
331,1,NA,NA,NA,0,0,1578,2010,811
268,1,NA,NA,NA,0,0,1578,2011,811
8707,1,NA,NA,NA,0,0,219,1991,840
8293,1,NA,NA,NA,0,0,219,1992,840
1614,0,NA,35.4,NA,0,0,446,1995,780
1775,0,NA,NA,NA,0,0,446,1996,780
1851,0,NA,NA,NA,0,0,446,1997,780
1919,0,NA,NA,NA,0,0,446,1999,780
1310,0,NA,NA,NA,0,0,446,2003,780
1377,0,NA,NA,NA,0,0,446,2004,780
1219,0,NA,NA,NA,0,0,446,2005,780
2044,0,NA,39.7,NA,0,0,446,2006,780
2002,0,NA,NA,NA,0,0,446,2008,780
1099,0,NA,36.1,NA,0,0,446,2009,780
763,0,NA,NA,NA,0,0,446,2010,780
732,0,NA,NA,NA,0,0,446,2011,780
